reaction,name,lower_bound,type,formula
R_EX_gmp_e_,GMP,-0.00001,Nucleotides,C10H12N5O8P
R_EX_imp_e_,IMP,-0.00001,Nucleotides,C10H11N4O8P
R_EX_cytd_e_,Cytidine,-0.0001,Nucleotides,C9H13N3O5
R_EX_dcyt_e_,Deoxycytidine,-0.0001,Nucleotides,C9H13N3O4
R_EX_duri_e_,Deoxyuridine,-0.0001,Nucleotides,C9H12N2O5
R_EX_thymd_e_,Thymidine,-0.0001,Nucleotides,C10H14N2O5
R_EX_ura_e_,Uracil,-0.0001,Nucleotides,C4H4N2O2
R_EX_uri_e_,Uridine,-0.0001,Nucleotides,C9H12N2O6
R_EX_urate_e_,Urate,-0.001,Nucleotides,C5H4N4O3
R_EX_lnlc_e_,linoleic acid (all cis C18:2) n-6,-0.1,Lipids,C18H31O2
R_EX_hdca_e_,Hexadecanoate (n-C16:0),-0.1,Lipids,C16H31O2
R_EX_hdcea_e_,Hexadecenoate (n-C16:1),-0.1,Lipids,C16H29O2
R_EX_triodthy_e_,Triiodothyronine,-0.000001,Others,C15H12I3NO4
R_EX_thyox_L_e_,L-Thyroxine,-0.00001,Others,C15H11I4NO4
R_EX_thym_e_,Thymine,-0.00001,Others,C5H6N2O2
R_EX_tchola_e_,Taurocholic acid,-0.00001,Others,C26H45NO7S
R_EX_gthox_e_,Oxidized glutathione,-0.00001,Others,C20H30N6O12S2
R_EX_gchola_e_,glycocholate,-0.00001,Others,C26H43NO6
R_EX_4pyrdx_e_,4-Pyridoxate,-0.00001,Others,C8H9NO4
R_EX_4abut_e_,4-Aminobutanoate,-0.00001,Others,C4H9NO2
R_EX_acac_e_,Acetoacetate,-0.0001,Others,C4H5O3
R_EX_akg_e_,2-Oxoglutarate,-0.0001,Others,C5H4O5
R_EX_crn_e_,L-Carnitine,-0.0001,Others,C7H15NO3
R_EX_lcts_e_,Lactose,-0.0001,Others,C12H22O11
R_EX_srtn_e_,Serotonin,-0.0001,Others,C10H13N2O
R_EX_sucr_e_,Sucrose,-0.0001,Others,C12H22O11
R_EX_bilirub_e_,Bilirubin,-0.001,Others,C33H34N4O6
R_EX_cit_e_,Citrate,-0.001,Others,C6H5O7
R_EX_glyc_e_,Glycerol,-0.001,Others,C3H8O3
R_EX_hxan_e_,Hypoxanthine,-0.001,Others,C5H4N4O
R_EX_oxa_e_,Oxalate,-0.001,Others,C2O4
R_EX_taur_e_,Taurine,-0.001,Others,C2H7NO3S
R_EX_creat_e_,Creatine,-0.01,Others,C4H9N3O2
R_EX_hom_L_e_,L-Homoserine,-0.01,Others,C4H9NO3
R_EX_orn_e_,Ornithine,-0.01,Others,C5H13N2O2
R_EX_succ_e_,Succinate,-0.01,Others,C4H4O4
R_EX_lac_L_e_,L-Lactate,-0.1,Others,C3H5O3
R_EX_glc_e_,Glucose,-10,Others,C6H12O6
R_EX_o2_e_,O2,-100,Others,O2
R_EX_gln_L_e_,L-Glutamine,-2,Others,C5H10N2O3
R_EX_gthrd_e_,Reduced glutathione,-0.001,Others,C10H16N3O6S
R_EX_Tyr_ggn_e_,Tyr-194,-1,Others,XOH
